txn_id,order_id,operation_type,status,psp,psp_reference,sku,country,currency,amount_local,fx_rate_applied,fx_date_applied,amount_usd,created_at_utc,captured_at_utc
TXN-102556,ORD-502556,SALE,settled,paypal_eu,P54742W2ULA8YDR0L,coach_addon,ES,EUR,4.99,1.091728,2026-06-01,5.45,2026-06-01T07:34:13Z,2026-06-01T08:48:13Z
TXN-104525,ORD-504525,SALE,settled,adyen,8620000000000575,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:41:36Z,2026-06-01T08:50:36Z
TXN-105182,ORD-505182,SALE,settled,adyen,8620000000001232,sub_quarterly,GB,GBP,21.99,1.284816,2026-06-01,28.25,2026-06-01T07:45:50Z,2026-06-01T09:27:50Z
TXN-107329,ORD-507329,SALE,settled,google_play,,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:46:08Z,2026-06-01T07:53:08Z
TXN-104132,ORD-504132,SALE,settled,adyen,8620000000000182,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:57:39Z,2026-06-01T08:35:39Z
TXN-100622,ORD-500622,SALE,settled,paypal_us,S1KXD9HHRK5L064VV,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T08:02:18Z,2026-06-01T09:31:18Z
TXN-102537,ORD-502537,SALE,settled,paypal_eu,JR1SUR8G07W17ZPNR,coach_addon,DE,EUR,4.99,1.091728,2026-06-01,5.45,2026-06-01T08:03:25Z,2026-06-01T09:07:25Z
TXN-103463,ORD-503463,SALE,declined,paypal_eu,0DRQ0928NVSA52MA3,coach_addon,GB,GBP,4.49,1.284816,2026-06-01,5.77,2026-06-01T08:05:02Z,
TXN-101952,ORD-501952,SALE,settled,paypal_us,WH0XJ7C9GPKYTTWEF,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T08:05:49Z,2026-06-01T09:40:49Z
TXN-105572,ORD-505572,SALE,settled,adyen,8620000000001622,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:06:07Z,2026-06-01T09:32:07Z
TXN-100005,ORD-500005,SALE,settled,paypal_us,NFQZ142PMP4P1BC2Q,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T08:08:21Z,2026-06-01T08:16:21Z
TXN-103953,ORD-503953,SALE,settled,adyen,8620000000000003,sub_monthly,GB,GBP,8.99,1.284816,2026-06-01,11.55,2026-06-01T08:08:56Z,2026-06-01T08:41:56Z
TXN-103997,ORD-503997,SALE,settled,adyen,8620000000000047,sub_annual,FR,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T08:11:16Z,2026-06-01T08:34:16Z
TXN-105110,ORD-505110,SALE,settled,adyen,8620000000001160,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:13:05Z,2026-06-01T08:49:05Z
TXN-104308,ORD-504308,SALE,settled,adyen,8620000000000358,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:14:23Z,2026-06-01T09:39:23Z
TXN-105542,ORD-505542,SALE,settled,adyen,8620000000001592,sub_annual,NL,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T08:14:24Z,2026-06-01T08:39:24Z
TXN-106719,ORD-506719,SALE,settled,dlocal,DL-90001024,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T08:17:13Z,2026-06-01T08:29:13Z
TXN-106617,ORD-506617,SALE,settled,dlocal,DL-90000922,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T08:18:54Z,2026-06-01T08:43:54Z
TXN-105858,ORD-505858,SALE,settled,dlocal,DL-90000163,sub_monthly,CO,COP,29900.00,0.000251,2026-06-01,7.50,2026-06-01T08:20:02Z,2026-06-01T09:41:02Z
TXN-105074,ORD-505074,SALE,settled,adyen,8620000000001124,sub_annual,DE,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T08:23:31Z,2026-06-01T09:24:31Z
TXN-107086,ORD-507086,SALE,settled,google_play,,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T08:26:41Z,2026-06-01T10:15:41Z
TXN-101104,ORD-501104,SALE,declined,paypal_us,N7VX4KXZDD15F2201,coach_addon,US,USD,4.99,1.000000,2026-06-01,4.99,2026-06-01T08:30:15Z,
TXN-101386,ORD-501386,SALE,settled,paypal_us,RL8EC16AWHFX9ZMVP,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T08:37:38Z,2026-06-01T09:25:38Z
TXN-102932,ORD-502932,SALE,settled,paypal_eu,9RVGEYXGRR00GPNBJ,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:38:57Z,2026-06-01T09:13:57Z
TXN-103683,ORD-503683,SALE,declined,paypal_eu,E71NXM1AA4MGE7K4K,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:42:57Z,
TXN-103528,ORD-503528,SALE,settled,paypal_eu,SSJ17CPS8897RF1KV,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:43:25Z,2026-06-01T09:46:25Z
TXN-104735,ORD-504735,SALE,settled,adyen,8620000000000785,sub_annual,DE,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T08:46:58Z,2026-06-01T10:02:58Z
TXN-100781,ORD-500781,SALE,settled,paypal_us,E6BEFJHWNTTHN5FDU,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T08:49:01Z,2026-06-01T10:36:01Z
TXN-104259,ORD-504259,SALE,settled,adyen,8620000000000309,sub_annual,DE,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T08:49:16Z,2026-06-01T09:49:16Z
TXN-106486,ORD-506486,SALE,settled,dlocal,DL-90000791,coach_addon,MX,MXN,59.00,0.055014,2026-06-01,3.25,2026-06-01T08:50:08Z,2026-06-01T10:39:08Z
TXN-103515,ORD-503515,SALE,settled,paypal_eu,5L09Y5MKL1M88783A,sub_monthly,ES,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T08:54:48Z,2026-06-01T10:30:48Z
TXN-101398,ORD-501398,SALE,settled,paypal_us,9E1DVH6MCZSE794PQ,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T09:02:02Z,2026-06-01T09:52:02Z
TXN-103843,ORD-503843,SALE,settled,paypal_eu,YCC3CE7G9UMRNBSRP,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T09:06:25Z,2026-06-01T09:41:25Z
TXN-103665,ORD-503665,SALE,settled,paypal_eu,SPJZ5SBZH0NJF6D7M,sub_annual,FR,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T09:06:50Z,2026-06-01T10:03:50Z
TXN-104168,ORD-504168,SALE,settled,adyen,8620000000000218,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T09:08:20Z,2026-06-01T09:57:20Z
TXN-100915,ORD-500915,SALE,settled,paypal_us,F5WMK5KZSZY03QCC8,coach_addon,US,USD,4.99,1.000000,2026-06-01,4.99,2026-06-01T09:09:01Z,2026-06-01T10:58:01Z
TXN-101533,ORD-501533,SALE,settled,paypal_us,CHEWPN9C1UTHGHPTW,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T09:15:07Z,2026-06-01T10:10:07Z
TXN-103541,ORD-503541,SALE,settled,paypal_eu,PVCD5SRKD40K95HAD,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T09:35:17Z,2026-06-01T10:33:17Z
TXN-107264,ORD-507264,SALE,settled,google_play,,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T09:37:42Z,2026-06-01T10:20:42Z
TXN-105024,ORD-505024,SALE,settled,adyen,8620000000001074,sub_monthly,NL,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T09:39:32Z,2026-06-01T11:21:32Z
TXN-104764,ORD-504764,SALE,settled,adyen,8620000000000814,sub_monthly,NL,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T09:42:25Z,2026-06-01T10:36:25Z
TXN-100802,ORD-500802,SALE,settled,paypal_us,807XA0GNQV1FF2TN7,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T09:43:47Z,2026-06-01T10:35:47Z
TXN-105297,ORD-505297,SALE,settled,adyen,8620000000001347,coach_addon,US,USD,4.99,1.000000,2026-06-01,4.99,2026-06-01T09:47:43Z,2026-06-01T10:53:43Z
TXN-105727,ORD-505727,SALE,declined,dlocal,DL-90000032,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T09:54:35Z,
TXN-101661,ORD-501661,SALE,settled,paypal_us,K3L9JRX4T1S0KERL4,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T09:57:23Z,2026-06-01T11:38:23Z
TXN-102540,ORD-502540,SALE,settled,paypal_eu,P7VW2GWA4RRXML46Z,coach_addon,FR,EUR,4.99,1.091728,2026-06-01,5.45,2026-06-01T10:01:24Z,2026-06-01T11:48:24Z
TXN-104050,ORD-504050,SALE,settled,adyen,8620000000000100,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:11:43Z,2026-06-01T11:06:43Z
TXN-103118,ORD-503118,SALE,settled,paypal_eu,EN34VSM9HH6HRUCWA,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T10:12:07Z,2026-06-01T10:44:07Z
TXN-105258,ORD-505258,SALE,settled,adyen,8620000000001308,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T10:13:06Z,2026-06-01T11:55:06Z
TXN-103730,ORD-503730,SALE,settled,paypal_eu,EFMGKG8577VULML2K,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T10:18:29Z,2026-06-01T11:23:29Z
TXN-104712,ORD-504712,SALE,settled,adyen,8620000000000762,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T10:18:40Z,2026-06-01T10:55:40Z
TXN-104499,ORD-504499,SALE,settled,adyen,8620000000000549,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T10:19:18Z,2026-06-01T11:49:18Z
TXN-103378,ORD-503378,SALE,declined,paypal_eu,29AGL7T6K6YHAYJ62,sub_quarterly,FR,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T10:22:17Z,
TXN-101212,ORD-501212,SALE,settled,paypal_us,AKTX2A923LXC3BJY0,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:23:02Z,2026-06-01T11:21:02Z
TXN-100954,ORD-500954,SALE,settled,paypal_us,CEXUCGPEDA2UDZ43J,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T10:25:24Z,2026-06-01T11:26:24Z
TXN-106350,ORD-506350,SALE,settled,dlocal,DL-90000655,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T10:32:57Z,2026-06-01T11:32:57Z
TXN-101778,ORD-501778,SALE,settled,paypal_us,WXHZG5NWTUKM10G1M,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:33:17Z,2026-06-01T10:48:17Z
TXN-103370,ORD-503370,SALE,settled,paypal_eu,X23MHD3RCRRXRRLQL,sub_annual,GB,GBP,54.99,1.284816,2026-06-01,70.65,2026-06-01T10:35:15Z,2026-06-01T11:41:15Z
TXN-104828,ORD-504828,SALE,settled,adyen,8620000000000878,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:36:50Z,2026-06-01T11:56:50Z
TXN-104276,ORD-504276,SALE,settled,adyen,8620000000000326,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:39:01Z,2026-06-01T12:28:01Z
TXN-101784,ORD-501784,SALE,settled,paypal_us,5KCBEYXXU8PFN31H9,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T10:40:08Z,2026-06-01T11:14:08Z
TXN-100537,ORD-500537,SALE,settled,paypal_us,A18YPHB0K4ZMVKX9R,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:48:10Z,2026-06-01T11:56:10Z
TXN-102477,ORD-502477,SALE,settled,paypal_eu,D4THLFSFGXA038T97,sub_annual,IT,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T10:48:48Z,2026-06-01T12:26:48Z
TXN-102805,ORD-502805,SALE,settled,paypal_eu,1TSCPA24ZS50MZL42,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T10:51:12Z,2026-06-01T11:46:12Z
TXN-102011,ORD-502011,SALE,settled,paypal_us,9PWR9X3JTSWT77FB0,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T10:58:52Z,2026-06-01T11:36:52Z
TXN-102775,ORD-502775,SALE,settled,paypal_eu,TJGVWKEA0VBREL6MT,sub_monthly,IT,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T10:59:04Z,2026-06-01T12:06:04Z
TXN-107490,ORD-507490,SALE,settled,google_play,,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T11:00:49Z,2026-06-01T12:46:49Z
TXN-101828,ORD-501828,SALE,settled,paypal_us,QSDZAF66280S1GGYG,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T11:00:59Z,2026-06-01T11:36:59Z
TXN-106177,ORD-506177,SALE,settled,dlocal,DL-90000482,sub_monthly,MX,MXN,129.00,0.055014,2026-06-01,7.10,2026-06-01T11:07:01Z,2026-06-01T11:32:01Z
TXN-101918,ORD-501918,SALE,settled,paypal_us,PSS640BKAYNBJC64X,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T11:07:04Z,2026-06-01T12:06:04Z
TXN-104596,ORD-504596,SALE,settled,adyen,8620000000000646,sub_quarterly,GB,GBP,21.99,1.284816,2026-06-01,28.25,2026-06-01T11:08:08Z,2026-06-01T12:41:08Z
TXN-107229,ORD-507229,SALE,settled,google_play,,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T11:11:16Z,2026-06-01T12:23:16Z
TXN-103841,ORD-503841,SALE,settled,paypal_eu,AVD2YUTYBPT1TE596,sub_quarterly,GB,GBP,21.99,1.284816,2026-06-01,28.25,2026-06-01T11:13:26Z,2026-06-01T11:50:26Z
TXN-102807,ORD-502807,SALE,declined,paypal_eu,7XZLD2R2RCF0KHPC8,coach_addon,FR,EUR,4.99,1.091728,2026-06-01,5.45,2026-06-01T11:15:00Z,
TXN-103355,ORD-503355,SALE,settled,paypal_eu,HX2PWPX5UVJTAGVC3,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:17:38Z,2026-06-01T12:42:38Z
TXN-107418,ORD-507418,SALE,settled,google_play,,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T11:20:21Z,2026-06-01T12:13:21Z
TXN-101869,ORD-501869,SALE,settled,paypal_us,JYR2R75L8BDD5UG0J,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T11:21:57Z,2026-06-01T12:12:57Z
TXN-102940,ORD-502940,SALE,settled,paypal_eu,J6MDLX827SF8D6WR2,sub_monthly,ES,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:22:21Z,2026-06-01T13:11:21Z
TXN-102916,ORD-502916,SALE,settled,paypal_eu,CD9681UCLEPTM98ZE,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:23:14Z,2026-06-01T12:26:14Z
TXN-104954,ORD-504954,SALE,settled,adyen,8620000000001004,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:25:59Z,2026-06-01T12:18:59Z
TXN-104394,ORD-504394,SALE,settled,adyen,8620000000000444,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:31:13Z,2026-06-01T12:32:13Z
TXN-100737,ORD-500737,SALE,settled,paypal_us,09SFGAHY25HP867MR,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T11:31:48Z,2026-06-01T12:41:48Z
TXN-103713,ORD-503713,SALE,settled,paypal_eu,LHV6U2FAGUQF9VL5W,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T11:32:56Z,2026-06-01T12:46:56Z
TXN-104557,ORD-504557,SALE,settled,adyen,8620000000000607,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:34:03Z,2026-06-01T12:08:03Z
TXN-104211,ORD-504211,SALE,settled,adyen,8620000000000261,sub_quarterly,NL,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T11:34:11Z,2026-06-01T11:44:11Z
TXN-106173,ORD-506173,SALE,settled,dlocal,DL-90000478,sub_monthly,MX,MXN,129.00,0.055014,2026-06-01,7.10,2026-06-01T11:39:20Z,2026-06-01T12:41:20Z
TXN-104739,ORD-504739,SALE,settled,adyen,8620000000000789,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T11:39:54Z,2026-06-01T12:20:54Z
TXN-100113,ORD-500113,SALE,settled,paypal_us,LXHXC6PUMJD62LAQR,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T11:44:49Z,2026-06-01T12:52:49Z
TXN-101968,ORD-501968,SALE,settled,paypal_us,SGLK9EZPC23UY22W3,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T11:45:13Z,2026-06-01T12:22:13Z
TXN-103622,ORD-503622,SALE,settled,paypal_eu,C57GE0L2GFRQWD3CE,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T11:49:19Z,2026-06-01T12:07:19Z
TXN-107337,ORD-507337,SALE,settled,google_play,,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T11:52:38Z,2026-06-01T13:29:38Z
TXN-106170,ORD-506170,SALE,settled,dlocal,DL-90000475,sub_monthly,CO,COP,29900.00,0.000251,2026-06-01,7.50,2026-06-01T11:52:50Z,2026-06-01T12:46:50Z
TXN-104799,ORD-504799,SALE,settled,adyen,8620000000000849,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T11:56:56Z,2026-06-01T13:42:56Z
TXN-106186,ORD-506186,SALE,settled,dlocal,DL-90000491,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T11:57:02Z,2026-06-01T13:24:02Z
TXN-101865,ORD-501865,SALE,settled,paypal_us,EPL87HB04N64JZBAU,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T12:07:02Z,2026-06-01T13:17:02Z
TXN-103972,ORD-503972,SALE,settled,adyen,8620000000000022,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T12:10:12Z,2026-06-01T12:43:12Z
TXN-102976,ORD-502976,SALE,settled,paypal_eu,GP2CG3SFY31J0AMU4,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T12:11:36Z,2026-06-01T12:24:36Z
TXN-105855,ORD-505855,SALE,settled,dlocal,DL-90000160,sub_monthly,BR,BRL,34.90,0.184519,2026-06-01,6.44,2026-06-01T12:18:00Z,2026-06-01T12:36:00Z
TXN-100818,ORD-500818,SALE,settled,paypal_us,MS72VATEY5VV3BX9P,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T12:40:26Z,2026-06-01T12:54:26Z
TXN-104354,ORD-504354,SALE,settled,adyen,8620000000000404,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T12:40:46Z,2026-06-01T12:53:46Z
TXN-102782,ORD-502782,SALE,settled,paypal_eu,TTCS5T5A2VCJHPK1K,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T12:40:48Z,2026-06-01T13:22:48Z
TXN-107408,ORD-507408,SALE,settled,google_play,,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T12:42:38Z,2026-06-01T12:55:38Z
TXN-103785,ORD-503785,SALE,settled,paypal_eu,291D0033BRD52DQ9G,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T12:44:22Z,2026-06-01T13:15:22Z
TXN-101248,ORD-501248,SALE,settled,paypal_us,28UFJN1ADT03V1KX8,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T12:52:33Z,2026-06-01T13:22:33Z
TXN-105740,ORD-505740,SALE,settled,dlocal,DL-90000045,sub_quarterly,MX,MXN,329.00,0.055014,2026-06-01,18.10,2026-06-01T12:52:58Z,2026-06-01T13:20:58Z
TXN-102244,ORD-502244,SALE,settled,paypal_eu,STTGY72LV4YHCDF1C,sub_quarterly,GB,GBP,21.99,1.284816,2026-06-01,28.25,2026-06-01T12:56:11Z,2026-06-01T13:46:11Z
TXN-105566,ORD-505566,SALE,settled,adyen,8620000000001616,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T13:01:12Z,2026-06-01T14:09:12Z
TXN-105627,ORD-505627,SALE,declined,adyen,8620000000001677,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T13:01:28Z,
TXN-102663,ORD-502663,SALE,settled,paypal_eu,LWT2NBN63213AZ91G,sub_annual,FR,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T13:06:41Z,2026-06-01T14:32:41Z
TXN-103525,ORD-503525,SALE,settled,paypal_eu,8N8BAERCJBQ6G5T1U,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T13:07:14Z,2026-06-01T14:50:14Z
TXN-100489,ORD-500489,SALE,settled,paypal_us,72SFAVYG04LV76XK2,coach_addon,US,USD,4.99,1.000000,2026-06-01,4.99,2026-06-01T13:08:43Z,2026-06-01T14:21:43Z
TXN-105342,ORD-505342,SALE,declined,adyen,8620000000001392,sub_annual,DE,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T13:15:16Z,
TXN-105529,ORD-505529,SALE,settled,adyen,8620000000001579,coach_addon,GB,GBP,4.49,1.284816,2026-06-01,5.77,2026-06-01T13:15:17Z,2026-06-01T14:35:17Z
TXN-102716,ORD-502716,SALE,declined,paypal_eu,YYPAT7FULDP4Z8VDV,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T13:16:55Z,
TXN-106172,ORD-506172,SALE,settled,dlocal,DL-90000477,sub_monthly,CO,COP,29900.00,0.000251,2026-06-01,7.50,2026-06-01T13:22:03Z,2026-06-01T15:01:03Z
TXN-105613,ORD-505613,SALE,settled,adyen,8620000000001663,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T13:24:01Z,2026-06-01T13:33:01Z
TXN-100182,ORD-500182,SALE,settled,paypal_us,2E6LFNFTR5N9DC7AF,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T13:25:00Z,2026-06-01T14:07:00Z
TXN-102912,ORD-502912,SALE,settled,paypal_eu,Q6VK3GY4R4UQNQR42,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T13:25:27Z,2026-06-01T14:01:27Z
TXN-105273,ORD-505273,SALE,settled,adyen,8620000000001323,sub_monthly,DE,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T13:29:22Z,2026-06-01T14:47:22Z
TXN-105091,ORD-505091,SALE,settled,adyen,8620000000001141,sub_annual,NL,EUR,59.99,1.091728,2026-06-01,65.49,2026-06-01T13:36:41Z,2026-06-01T13:58:41Z
TXN-104471,ORD-504471,SALE,settled,adyen,8620000000000521,sub_quarterly,DE,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T13:43:08Z,2026-06-01T14:41:08Z
TXN-107228,ORD-507228,SALE,settled,google_play,,coach_addon,US,USD,4.99,1.000000,2026-06-01,4.99,2026-06-01T13:43:15Z,2026-06-01T14:22:15Z
