Earnings report for Lumo Wellness (merchant account: LumoPlayMain). All dates and times are in America/Los_Angeles.
Transaction Date,Transaction Time,Transaction Type,Product ID,Buyer Country,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
"Jun 2, 2026",01:02:50,Google fee,sub_annual,DE,EUR,-9.00,1.095953,USD,-9.86
"Jun 2, 2026",01:40:36,Charge,sub_monthly,DE,EUR,9.99,1.095953,USD,10.95
"Jun 2, 2026",01:40:36,Google fee,sub_monthly,DE,EUR,-1.50,1.095953,USD,-1.64
"Jun 2, 2026",01:41:15,Charge,sub_monthly,MX,MXN,129.00,0.054994,USD,7.09
"Jun 2, 2026",01:41:15,Google fee,sub_monthly,MX,MXN,-19.35,0.054994,USD,-1.06
"Jun 2, 2026",01:49:47,Charge,sub_monthly,GB,GBP,8.99,1.283249,USD,11.54
"Jun 2, 2026",01:49:47,Google fee,sub_monthly,GB,GBP,-1.35,1.283249,USD,-1.73
"Jun 2, 2026",02:58:47,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",02:58:47,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",03:28:37,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 2, 2026",03:28:37,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 2, 2026",04:40:18,Charge,sub_monthly,DE,EUR,9.99,1.095953,USD,10.95
"Jun 2, 2026",04:40:18,Google fee,sub_monthly,DE,EUR,-1.50,1.095953,USD,-1.64
"Jun 2, 2026",04:41:40,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",04:41:40,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",04:54:05,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 2, 2026",04:54:05,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 2, 2026",05:24:29,Charge,sub_monthly,BR,BRL,34.90,0.183994,USD,6.42
"Jun 2, 2026",05:24:29,Google fee,sub_monthly,BR,BRL,-5.24,0.183994,USD,-0.96
"Jun 2, 2026",05:27:44,Charge,sub_monthly,GB,GBP,8.99,1.283249,USD,11.54
"Jun 2, 2026",05:27:44,Google fee,sub_monthly,GB,GBP,-1.35,1.283249,USD,-1.73
"Jun 2, 2026",05:30:32,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",05:30:32,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",05:51:05,Charge,sub_quarterly,BR,BRL,89.90,0.183994,USD,16.54
"Jun 2, 2026",05:51:05,Google fee,sub_quarterly,BR,BRL,-13.49,0.183994,USD,-2.48
"Jun 2, 2026",08:18:26,Charge,coach_addon,DE,EUR,4.99,1.095953,USD,5.47
"Jun 2, 2026",08:18:26,Google fee,coach_addon,DE,EUR,-0.75,1.095953,USD,-0.82
"Jun 2, 2026",08:23:08,Charge,sub_monthly,DE,EUR,9.99,1.095953,USD,10.95
"Jun 2, 2026",08:23:08,Google fee,sub_monthly,DE,EUR,-1.50,1.095953,USD,-1.64
"Jun 2, 2026",09:07:40,Charge,sub_monthly,DE,EUR,9.99,1.095953,USD,10.95
"Jun 2, 2026",09:07:40,Google fee,sub_monthly,DE,EUR,-1.50,1.095953,USD,-1.64
"Jun 2, 2026",09:09:51,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 2, 2026",09:09:51,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 2, 2026",09:17:43,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",09:17:43,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",09:23:58,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 2, 2026",09:23:58,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 2, 2026",09:25:22,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",09:25:22,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",10:30:19,Charge,sub_annual,DE,EUR,59.99,1.095953,USD,65.75
"Jun 2, 2026",10:30:19,Google fee,sub_annual,DE,EUR,-9.00,1.095953,USD,-9.86
"Jun 2, 2026",10:56:23,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",10:56:23,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 2, 2026",11:58:38,Charge,sub_quarterly,MX,MXN,329.00,0.054994,USD,18.09
"Jun 2, 2026",11:58:38,Google fee,sub_quarterly,MX,MXN,-49.35,0.054994,USD,-2.71
"Jun 2, 2026",12:28:00,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 2, 2026",12:28:00,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 3, 2026",00:14:16,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 3, 2026",00:14:16,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 3, 2026",00:43:30,Charge,sub_quarterly,BR,BRL,89.90,0.184307,USD,16.57
"Jun 3, 2026",00:43:30,Google fee,sub_quarterly,BR,BRL,-13.49,0.184307,USD,-2.49
"Jun 3, 2026",02:15:53,Charge,sub_quarterly,GB,GBP,21.99,1.282347,USD,28.20
"Jun 3, 2026",02:15:53,Google fee,sub_quarterly,GB,GBP,-3.30,1.282347,USD,-4.23
"Jun 3, 2026",02:46:27,Charge,sub_monthly,BR,BRL,34.90,0.184307,USD,6.43
"Jun 3, 2026",02:46:27,Google fee,sub_monthly,BR,BRL,-5.24,0.184307,USD,-0.96
"Jun 3, 2026",06:02:41,Charge,sub_monthly,GB,GBP,8.99,1.282347,USD,11.53
"Jun 3, 2026",06:02:41,Google fee,sub_monthly,GB,GBP,-1.35,1.282347,USD,-1.73
"Jun 3, 2026",06:10:46,Charge,sub_quarterly,MX,MXN,329.00,0.055176,USD,18.15
"Jun 3, 2026",06:10:46,Google fee,sub_quarterly,MX,MXN,-49.35,0.055176,USD,-2.72
"Jun 3, 2026",06:52:25,Charge,sub_quarterly,BR,BRL,89.90,0.184307,USD,16.57
"Jun 3, 2026",06:52:25,Google fee,sub_quarterly,BR,BRL,-13.49,0.184307,USD,-2.49
"Jun 3, 2026",07:10:12,Charge,sub_quarterly,BR,BRL,89.90,0.184307,USD,16.57
"Jun 3, 2026",07:10:12,Google fee,sub_quarterly,BR,BRL,-13.49,0.184307,USD,-2.49
"Jun 3, 2026",07:10:14,Charge,sub_monthly,DE,EUR,9.99,1.094609,USD,10.94
"Jun 3, 2026",07:10:14,Google fee,sub_monthly,DE,EUR,-1.50,1.094609,USD,-1.64
"Jun 3, 2026",07:28:19,Charge,sub_monthly,MX,MXN,129.00,0.055176,USD,7.12
"Jun 3, 2026",07:28:19,Google fee,sub_monthly,MX,MXN,-19.35,0.055176,USD,-1.07
"Jun 3, 2026",08:22:04,Charge,sub_quarterly,BR,BRL,89.90,0.184307,USD,16.57
"Jun 3, 2026",08:22:04,Google fee,sub_quarterly,BR,BRL,-13.49,0.184307,USD,-2.49
"Jun 3, 2026",08:48:46,Charge,sub_monthly,GB,GBP,8.99,1.282347,USD,11.53
"Jun 3, 2026",08:48:46,Google fee,sub_monthly,GB,GBP,-1.35,1.282347,USD,-1.73
"Jun 3, 2026",09:01:04,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 3, 2026",09:01:04,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 3, 2026",09:10:06,Charge,sub_quarterly,BR,BRL,89.90,0.184307,USD,16.57
"Jun 3, 2026",09:10:06,Google fee,sub_quarterly,BR,BRL,-13.49,0.184307,USD,-2.49
"Jun 3, 2026",10:00:45,Charge,sub_annual,DE,EUR,59.99,1.094609,USD,65.67
"Jun 3, 2026",10:00:45,Google fee,sub_annual,DE,EUR,-9.00,1.094609,USD,-9.85
"Jun 3, 2026",10:10:43,Charge,sub_annual,DE,EUR,59.99,1.094609,USD,65.67
"Jun 3, 2026",10:10:43,Google fee,sub_annual,DE,EUR,-9.00,1.094609,USD,-9.85
"Jun 3, 2026",10:11:12,Charge,coach_addon,DE,EUR,4.99,1.094609,USD,5.46
"Jun 3, 2026",10:11:12,Google fee,coach_addon,DE,EUR,-0.75,1.094609,USD,-0.82
"Jun 3, 2026",10:59:27,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 3, 2026",10:59:27,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 3, 2026",11:02:00,Charge,sub_monthly,DE,EUR,9.99,1.094609,USD,10.94
"Jun 3, 2026",11:02:00,Google fee,sub_monthly,DE,EUR,-1.50,1.094609,USD,-1.64
"Jun 3, 2026",11:43:30,Charge,sub_monthly,MX,MXN,129.00,0.055176,USD,7.12
"Jun 3, 2026",11:43:30,Google fee,sub_monthly,MX,MXN,-19.35,0.055176,USD,-1.07
"Jun 3, 2026",11:57:01,Charge,sub_quarterly,DE,EUR,24.99,1.094609,USD,27.35
"Jun 3, 2026",11:57:01,Google fee,sub_quarterly,DE,EUR,-3.75,1.094609,USD,-4.10
"Jun 3, 2026",12:20:23,Charge,sub_annual,BR,BRL,199.90,0.184307,USD,36.84
"Jun 3, 2026",12:20:23,Google fee,sub_annual,BR,BRL,-29.99,0.184307,USD,-5.53
"Jun 3, 2026",12:41:41,Charge,sub_monthly,GB,GBP,8.99,1.282347,USD,11.53
"Jun 3, 2026",12:41:41,Google fee,sub_monthly,GB,GBP,-1.35,1.282347,USD,-1.73
"Jun 3, 2026",12:45:40,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 3, 2026",12:45:40,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 3, 2026",13:19:16,Charge,sub_quarterly,DE,EUR,24.99,1.094609,USD,27.35
"Jun 3, 2026",13:19:16,Google fee,sub_quarterly,DE,EUR,-3.75,1.094609,USD,-4.10
"Jun 4, 2026",01:15:19,Charge,sub_monthly,DE,EUR,9.99,1.092047,USD,10.91
"Jun 4, 2026",01:15:19,Google fee,sub_monthly,DE,EUR,-1.50,1.092047,USD,-1.64
"Jun 4, 2026",01:24:06,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 4, 2026",01:24:06,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 4, 2026",04:31:01,Charge,sub_quarterly,BR,BRL,89.90,0.184956,USD,16.63
"Jun 4, 2026",04:31:01,Google fee,sub_quarterly,BR,BRL,-13.49,0.184956,USD,-2.49
"Jun 4, 2026",04:44:20,Charge,sub_annual,DE,EUR,59.99,1.092047,USD,65.51
"Jun 4, 2026",04:44:20,Google fee,sub_annual,DE,EUR,-9.00,1.092047,USD,-9.83
"Jun 4, 2026",05:50:36,Charge,sub_monthly,GB,GBP,8.99,1.286215,USD,11.56
"Jun 4, 2026",05:50:36,Google fee,sub_monthly,GB,GBP,-1.35,1.286215,USD,-1.73
"Jun 4, 2026",06:27:19,Charge,sub_monthly,DE,EUR,9.99,1.092047,USD,10.91
"Jun 4, 2026",06:27:19,Google fee,sub_monthly,DE,EUR,-1.50,1.092047,USD,-1.64
"Jun 4, 2026",06:29:41,Charge,sub_quarterly,GB,GBP,21.99,1.286215,USD,28.28
"Jun 4, 2026",06:29:41,Google fee,sub_quarterly,GB,GBP,-3.30,1.286215,USD,-4.24
"Jun 4, 2026",06:37:26,Charge,sub_monthly,BR,BRL,34.90,0.184956,USD,6.45
"Jun 4, 2026",06:37:26,Google fee,sub_monthly,BR,BRL,-5.24,0.184956,USD,-0.97
"Jun 4, 2026",07:13:15,Charge,sub_quarterly,MX,MXN,329.00,0.055091,USD,18.12
"Jun 4, 2026",07:13:15,Google fee,sub_quarterly,MX,MXN,-49.35,0.055091,USD,-2.72
"Jun 4, 2026",07:16:04,Charge,sub_quarterly,DE,EUR,24.99,1.092047,USD,27.29
"Jun 4, 2026",07:16:04,Google fee,sub_quarterly,DE,EUR,-3.75,1.092047,USD,-4.09
"Jun 4, 2026",07:17:50,Charge,coach_addon,GB,GBP,4.49,1.286215,USD,5.78
"Jun 4, 2026",07:17:50,Google fee,coach_addon,GB,GBP,-0.67,1.286215,USD,-0.87
"Jun 4, 2026",07:27:17,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 4, 2026",07:27:17,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 4, 2026",07:30:05,Charge,sub_monthly,GB,GBP,8.99,1.286215,USD,11.56
"Jun 4, 2026",07:30:05,Google fee,sub_monthly,GB,GBP,-1.35,1.286215,USD,-1.73
"Jun 4, 2026",07:45:15,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 4, 2026",07:45:15,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 4, 2026",08:14:46,Charge,coach_addon,BR,BRL,16.90,0.184956,USD,3.13
"Jun 4, 2026",08:14:46,Google fee,coach_addon,BR,BRL,-2.54,0.184956,USD,-0.47
"Jun 4, 2026",08:17:42,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 4, 2026",08:17:42,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 4, 2026",09:46:55,Charge,sub_monthly,DE,EUR,9.99,1.092047,USD,10.91
"Jun 4, 2026",09:46:55,Google fee,sub_monthly,DE,EUR,-1.50,1.092047,USD,-1.64
"Jun 4, 2026",10:02:47,Charge,sub_annual,BR,BRL,199.90,0.184956,USD,36.97
"Jun 4, 2026",10:02:47,Google fee,sub_annual,BR,BRL,-29.99,0.184956,USD,-5.55
"Jun 4, 2026",10:32:24,Charge,sub_monthly,DE,EUR,9.99,1.092047,USD,10.91
"Jun 4, 2026",10:32:24,Google fee,sub_monthly,DE,EUR,-1.50,1.092047,USD,-1.64
"Jun 4, 2026",10:47:29,Charge,sub_quarterly,GB,GBP,21.99,1.286215,USD,28.28
"Jun 4, 2026",10:47:29,Google fee,sub_quarterly,GB,GBP,-3.30,1.286215,USD,-4.24
"Jun 4, 2026",11:05:46,Charge,sub_monthly,GB,GBP,8.99,1.286215,USD,11.56
"Jun 4, 2026",11:05:46,Google fee,sub_monthly,GB,GBP,-1.35,1.286215,USD,-1.73
"Jun 4, 2026",11:15:40,Charge,sub_annual,DE,EUR,59.99,1.092047,USD,65.51
"Jun 4, 2026",11:15:40,Google fee,sub_annual,DE,EUR,-9.00,1.092047,USD,-9.83
"Jun 4, 2026",12:15:09,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 4, 2026",12:15:09,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",01:00:10,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",01:00:10,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",01:03:11,Charge,sub_annual,DE,EUR,59.99,1.094662,USD,65.67
"Jun 5, 2026",01:03:11,Google fee,sub_annual,DE,EUR,-9.00,1.094662,USD,-9.85
"Jun 5, 2026",01:15:37,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",01:15:37,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",01:30:20,Charge,sub_quarterly,BR,BRL,89.90,0.184711,USD,16.61
"Jun 5, 2026",01:30:20,Google fee,sub_quarterly,BR,BRL,-13.49,0.184711,USD,-2.49
"Jun 5, 2026",01:45:44,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 5, 2026",01:45:44,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 5, 2026",01:56:39,Charge,sub_monthly,BR,BRL,34.90,0.184711,USD,6.45
"Jun 5, 2026",01:56:39,Google fee,sub_monthly,BR,BRL,-5.24,0.184711,USD,-0.97
"Jun 5, 2026",02:33:11,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",02:33:11,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",04:05:40,Charge,sub_annual,DE,EUR,59.99,1.094662,USD,65.67
"Jun 5, 2026",04:05:40,Google fee,sub_annual,DE,EUR,-9.00,1.094662,USD,-9.85
"Jun 5, 2026",04:13:33,Charge,coach_addon,GB,GBP,4.49,1.288623,USD,5.79
"Jun 5, 2026",04:13:33,Google fee,coach_addon,GB,GBP,-0.67,1.288623,USD,-0.87
"Jun 5, 2026",04:13:45,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",04:13:45,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",04:33:41,Charge,sub_annual,DE,EUR,59.99,1.094662,USD,65.67
"Jun 5, 2026",04:33:41,Google fee,sub_annual,DE,EUR,-9.00,1.094662,USD,-9.85
"Jun 5, 2026",04:45:48,Charge,sub_annual,DE,EUR,59.99,1.094662,USD,65.67
"Jun 5, 2026",04:45:48,Google fee,sub_annual,DE,EUR,-9.00,1.094662,USD,-9.85
"Jun 5, 2026",05:32:04,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",05:32:04,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",05:34:05,Charge,sub_annual,MX,MXN,799.00,0.055004,USD,43.95
"Jun 5, 2026",05:34:05,Google fee,sub_annual,MX,MXN,-119.85,0.055004,USD,-6.59
"Jun 5, 2026",05:45:40,Charge,coach_addon,MX,MXN,59.00,0.055004,USD,3.25
"Jun 5, 2026",05:45:40,Google fee,coach_addon,MX,MXN,-8.85,0.055004,USD,-0.49
"Jun 5, 2026",06:21:50,Charge,coach_addon,MX,MXN,59.00,0.055004,USD,3.25
"Jun 5, 2026",06:21:50,Google fee,coach_addon,MX,MXN,-8.85,0.055004,USD,-0.49
"Jun 5, 2026",06:27:40,Charge,sub_monthly,BR,BRL,34.90,0.184711,USD,6.45
"Jun 5, 2026",06:27:40,Google fee,sub_monthly,BR,BRL,-5.24,0.184711,USD,-0.97
"Jun 5, 2026",07:40:13,Charge,sub_monthly,DE,EUR,9.99,1.094662,USD,10.94
"Jun 5, 2026",07:40:13,Google fee,sub_monthly,DE,EUR,-1.50,1.094662,USD,-1.64
"Jun 5, 2026",08:20:53,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",08:20:53,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",08:50:59,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 5, 2026",08:50:59,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 5, 2026",08:51:37,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",08:51:37,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",09:20:43,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",09:20:43,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",09:30:50,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 5, 2026",09:30:50,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 5, 2026",10:10:15,Charge,sub_quarterly,BR,BRL,89.90,0.184711,USD,16.61
"Jun 5, 2026",10:10:15,Google fee,sub_quarterly,BR,BRL,-13.49,0.184711,USD,-2.49
"Jun 5, 2026",10:10:36,Charge,sub_monthly,MX,MXN,129.00,0.055004,USD,7.10
"Jun 5, 2026",10:10:36,Google fee,sub_monthly,MX,MXN,-19.35,0.055004,USD,-1.07
"Jun 5, 2026",10:31:09,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jun 5, 2026",10:31:09,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jun 5, 2026",11:16:49,Charge,sub_monthly,GB,GBP,8.99,1.288623,USD,11.58
"Jun 5, 2026",11:16:49,Google fee,sub_monthly,GB,GBP,-1.35,1.288623,USD,-1.74
"Jun 5, 2026",11:56:43,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 5, 2026",11:56:43,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 5, 2026",11:56:43,Charge,sub_annual,DE,EUR,59.99,1.094662,USD,65.67
"Jun 5, 2026",11:56:43,Google fee,sub_annual,DE,EUR,-9.00,1.094662,USD,-9.85
"Jun 5, 2026",12:07:38,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 5, 2026",12:07:38,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 5, 2026",12:11:07,Charge,sub_monthly,DE,EUR,9.99,1.094662,USD,10.94
"Jun 5, 2026",12:11:07,Google fee,sub_monthly,DE,EUR,-1.50,1.094662,USD,-1.64
"Jun 5, 2026",12:11:28,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jun 5, 2026",12:11:28,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jun 5, 2026",12:19:57,Charge,sub_quarterly,BR,BRL,89.90,0.184711,USD,16.61
"Jun 5, 2026",12:19:57,Google fee,sub_quarterly,BR,BRL,-13.49,0.184711,USD,-2.49
"Jun 6, 2026",00:26:27,Charge,sub_monthly,MX,MXN,129.00,0.055004,USD,7.10
"Jun 6, 2026",00:26:27,Google fee,sub_monthly,MX,MXN,-19.35,0.055004,USD,-1.07
"Jun 6, 2026",00:48:29,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 6, 2026",00:48:29,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 6, 2026",00:55:46,Charge,coach_addon,MX,MXN,59.00,0.055004,USD,3.25
"Jun 6, 2026",00:55:46,Google fee,coach_addon,MX,MXN,-8.85,0.055004,USD,-0.49
"Jun 6, 2026",02:03:47,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 6, 2026",02:03:47,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 6, 2026",02:06:53,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jun 6, 2026",02:06:53,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jun 6, 2026",02:10:01,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 6, 2026",02:10:01,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 6, 2026",02:18:25,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jun 6, 2026",02:18:25,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
