rate_date,currency,usd_rate,published_at
2026-06-05,GBP,1.288623,2026-06-05T16:00:00Z
2026-06-05,MXN,0.055004,2026-06-05T16:00:00Z
2026-06-08,ARS,0.000841,2026-06-08T16:00:00Z
2026-06-08,BRL,0.184391,2026-06-08T16:00:00Z
2026-06-08,CLP,0.001064,2026-06-08T16:00:00Z
2026-06-08,COP,0.000250,2026-06-08T16:00:00Z
2026-06-08,EUR,1.090998,2026-06-08T16:00:00Z
2026-06-08,GBP,1.290614,2026-06-08T16:00:00Z
2026-06-08,MXN,0.055104,2026-06-08T16:00:00Z
2026-06-09,ARS,0.000839,2026-06-09T16:00:00Z
2026-06-09,BRL,0.184648,2026-06-09T16:00:00Z
2026-06-09,CLP,0.001065,2026-06-09T16:00:00Z
2026-06-09,COP,0.000249,2026-06-09T16:00:00Z
2026-06-09,EUR,1.094153,2026-06-09T16:00:00Z
2026-06-09,GBP,1.292604,2026-06-09T16:00:00Z
2026-06-09,MXN,0.055288,2026-06-09T16:00:00Z
2026-06-10,ARS,0.000838,2026-06-10T16:00:00Z
2026-06-10,BRL,0.185352,2026-06-10T16:00:00Z
2026-06-10,BRL,0.190542,2026-06-12T09:00:00Z
2026-06-10,CLP,0.001068,2026-06-10T16:00:00Z
2026-06-10,COP,0.000248,2026-06-10T16:00:00Z
2026-06-10,EUR,1.090715,2026-06-10T16:00:00Z
2026-06-10,GBP,1.288904,2026-06-10T16:00:00Z
2026-06-10,MXN,0.055489,2026-06-10T16:00:00Z
2026-06-11,ARS,0.000837,2026-06-11T16:00:00Z
2026-06-11,BRL,0.185507,2026-06-11T16:00:00Z
2026-06-11,CLP,0.001066,2026-06-11T16:00:00Z
2026-06-11,COP,0.000247,2026-06-11T16:00:00Z
2026-06-11,EUR,1.087676,2026-06-11T16:00:00Z
2026-06-11,GBP,1.290138,2026-06-11T16:00:00Z
2026-06-11,MXN,0.055311,2026-06-11T16:00:00Z
2026-06-12,ARS,0.000835,2026-06-12T16:00:00Z
2026-06-12,BRL,0.184851,2026-06-12T16:00:00Z
2026-06-12,CLP,0.001065,2026-06-12T16:00:00Z
2026-06-12,COP,0.000246,2026-06-12T16:00:00Z
2026-06-12,EUR,1.087306,2026-06-12T16:00:00Z
2026-06-12,GBP,1.293039,2026-06-12T16:00:00Z
2026-06-12,MXN,0.055320,2026-06-12T16:00:00Z
2026-06-15,ARS,0.000837,2026-06-15T16:00:00Z
2026-06-15,BRL,0.185005,2026-06-15T16:00:00Z
2026-06-15,CLP,0.001061,2026-06-15T16:00:00Z
2026-06-15,COP,0.000245,2026-06-15T16:00:00Z
2026-06-15,EUR,1.085150,2026-06-15T16:00:00Z
2026-06-15,GBP,1.291251,2026-06-15T16:00:00Z
2026-06-15,MXN,0.055169,2026-06-15T16:00:00Z
2026-06-16,ARS,0.000836,2026-06-16T16:00:00Z
2026-06-16,BRL,0.184674,2026-06-16T16:00:00Z
2026-06-16,CLP,0.001059,2026-06-16T16:00:00Z
2026-06-16,COP,0.000246,2026-06-16T16:00:00Z
2026-06-16,EUR,1.086632,2026-06-16T16:00:00Z
2026-06-16,GBP,1.289482,2026-06-16T16:00:00Z
2026-06-16,MXN,0.055234,2026-06-16T16:00:00Z
2026-06-17,ARS,0.000835,2026-06-17T16:00:00Z
2026-06-17,BRL,0.184753,2026-06-17T16:00:00Z
2026-06-17,CLP,0.001059,2026-06-17T16:00:00Z
2026-06-17,COP,0.000245,2026-06-17T16:00:00Z
2026-06-17,EUR,1.087831,2026-06-17T16:00:00Z
2026-06-17,GBP,1.291765,2026-06-17T16:00:00Z
2026-06-17,MXN,0.055315,2026-06-17T16:00:00Z
2026-06-18,ARS,0.000832,2026-06-18T16:00:00Z
2026-06-18,BRL,0.184047,2026-06-18T16:00:00Z
2026-06-18,CLP,0.001061,2026-06-18T16:00:00Z
2026-06-18,COP,0.000244,2026-06-18T16:00:00Z
2026-06-18,EUR,1.089456,2026-06-18T16:00:00Z
2026-06-18,GBP,1.292986,2026-06-18T16:00:00Z
2026-06-18,MXN,0.055252,2026-06-18T16:00:00Z
2026-06-22,ARS,0.000834,2026-06-22T16:00:00Z
2026-06-22,BRL,0.183482,2026-06-22T16:00:00Z
2026-06-22,CLP,0.001058,2026-06-22T16:00:00Z
2026-06-22,COP,0.000244,2026-06-22T16:00:00Z
2026-06-22,EUR,1.089270,2026-06-22T16:00:00Z
2026-06-22,GBP,1.296780,2026-06-22T16:00:00Z
2026-06-22,MXN,0.055229,2026-06-22T16:00:00Z
2026-06-23,ARS,0.000835,2026-06-23T16:00:00Z
2026-06-23,BRL,0.183297,2026-06-23T16:00:00Z
2026-06-23,CLP,0.001061,2026-06-23T16:00:00Z
2026-06-23,COP,0.000243,2026-06-23T16:00:00Z
2026-06-23,EUR,1.086995,2026-06-23T16:00:00Z
2026-06-23,GBP,1.292812,2026-06-23T16:00:00Z
2026-06-23,MXN,0.055102,2026-06-23T16:00:00Z
2026-06-24,ARS,0.000834,2026-06-24T16:00:00Z
2026-06-24,BRL,0.183204,2026-06-24T16:00:00Z
2026-06-24,CLP,0.001060,2026-06-24T16:00:00Z
2026-06-24,COP,0.000244,2026-06-24T16:00:00Z
2026-06-24,EUR,1.083871,2026-06-24T16:00:00Z
2026-06-24,GBP,1.297755,2026-06-24T16:00:00Z
2026-06-24,MXN,0.055039,2026-06-24T16:00:00Z
2026-06-25,ARS,0.000835,2026-06-25T16:00:00Z
2026-06-25,BRL,0.182717,2026-06-25T16:00:00Z
2026-06-25,CLP,0.001059,2026-06-25T16:00:00Z
2026-06-25,COP,0.000244,2026-06-25T16:00:00Z
2026-06-25,EUR,1.080211,2026-06-25T16:00:00Z
2026-06-25,GBP,1.295883,2026-06-25T16:00:00Z
2026-06-25,MXN,0.054925,2026-06-25T16:00:00Z
2026-06-26,ARS,0.000832,2026-06-26T16:00:00Z
2026-06-26,BRL,0.182476,2026-06-26T16:00:00Z
2026-06-26,CLP,0.001061,2026-06-26T16:00:00Z
2026-06-26,COP,0.000245,2026-06-26T16:00:00Z
2026-06-26,EUR,1.080042,2026-06-26T16:00:00Z
2026-06-26,GBP,1.297809,2026-06-26T16:00:00Z
2026-06-26,MXN,0.055052,2026-06-26T16:00:00Z
2026-06-29,ARS,0.000829,2026-06-29T16:00:00Z
2026-06-29,BRL,0.182758,2026-06-29T16:00:00Z
2026-06-29,CLP,0.001062,2026-06-29T16:00:00Z
2026-06-29,COP,0.000246,2026-06-29T16:00:00Z
2026-06-29,EUR,1.083185,2026-06-29T16:00:00Z
2026-06-29,GBP,1.298401,2026-06-29T16:00:00Z
2026-06-29,MXN,0.055211,2026-06-29T16:00:00Z
2026-06-30,ARS,0.000826,2026-06-30T16:00:00Z
2026-06-30,BRL,0.182844,2026-06-30T16:00:00Z
2026-06-30,CLP,0.001059,2026-06-30T16:00:00Z
2026-06-30,COP,0.000246,2026-06-30T16:00:00Z
2026-06-30,EUR,1.081496,2026-06-30T16:00:00Z
2026-06-30,GBP,1.302510,2026-06-30T16:00:00Z
2026-06-30,MXN,0.055059,2026-06-30T16:00:00Z
2026-07-01,ARS,0.000824,2026-07-01T16:00:00Z
2026-07-01,BRL,0.183283,2026-07-01T16:00:00Z
2026-07-01,CLP,0.001057,2026-07-01T16:00:00Z
2026-07-01,COP,0.000247,2026-07-01T16:00:00Z
2026-07-01,EUR,1.085329,2026-07-01T16:00:00Z
2026-07-01,GBP,1.297694,2026-07-01T16:00:00Z
2026-07-01,MXN,0.055003,2026-07-01T16:00:00Z
2026-07-02,ARS,0.000825,2026-07-02T16:00:00Z
2026-07-02,BRL,0.182747,2026-07-02T16:00:00Z
2026-07-02,CLP,0.001059,2026-07-02T16:00:00Z
2026-07-02,COP,0.000246,2026-07-02T16:00:00Z
2026-07-02,EUR,1.088981,2026-07-02T16:00:00Z
2026-07-02,GBP,1.299868,2026-07-02T16:00:00Z
2026-07-02,MXN,0.054896,2026-07-02T16:00:00Z
2026-07-03,ARS,0.000828,2026-07-03T16:00:00Z
2026-07-03,BRL,0.182854,2026-07-03T16:00:00Z
2026-07-03,CLP,0.001056,2026-07-03T16:00:00Z
2026-07-03,COP,0.000246,2026-07-03T16:00:00Z
2026-07-03,EUR,1.089947,2026-07-03T16:00:00Z
2026-07-03,GBP,1.299376,2026-07-03T16:00:00Z
2026-07-03,MXN,0.055010,2026-07-03T16:00:00Z
