Earnings report for Lumo Wellness (merchant account: LumoPlayMain). All dates and times are in America/Los_Angeles.
Transaction Date,Transaction Time,Transaction Type,Product ID,Buyer Country,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
"Jul 1, 2026",11:44:25,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jul 1, 2026",11:44:25,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jul 1, 2026",11:51:02,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jul 1, 2026",11:51:02,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jul 2, 2026",01:38:48,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",01:38:48,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",02:10:20,Charge,sub_annual,GB,GBP,54.99,1.299868,USD,71.48
"Jul 2, 2026",02:10:20,Google fee,sub_annual,GB,GBP,-8.25,1.299868,USD,-10.72
"Jul 2, 2026",02:10:22,Charge,sub_monthly,BR,BRL,34.90,0.182747,USD,6.38
"Jul 2, 2026",02:10:22,Google fee,sub_monthly,BR,BRL,-5.24,0.182747,USD,-0.96
"Jul 2, 2026",03:22:49,Charge,sub_monthly,GB,GBP,8.99,1.299868,USD,11.69
"Jul 2, 2026",03:22:49,Google fee,sub_monthly,GB,GBP,-1.35,1.299868,USD,-1.75
"Jul 2, 2026",03:36:33,Charge,sub_quarterly,GB,GBP,21.99,1.299868,USD,28.58
"Jul 2, 2026",03:36:33,Google fee,sub_quarterly,GB,GBP,-3.30,1.299868,USD,-4.29
"Jul 2, 2026",03:51:11,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jul 2, 2026",03:51:11,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jul 2, 2026",05:08:13,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",05:08:13,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",05:57:53,Charge refund,sub_monthly,MX,MXN,-129.00,0.054896,USD,-7.08
"Jul 2, 2026",06:51:29,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",06:51:29,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",06:55:38,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",06:55:38,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",07:32:33,Charge,sub_monthly,DE,EUR,9.99,1.088981,USD,10.88
"Jul 2, 2026",07:32:33,Google fee,sub_monthly,DE,EUR,-1.50,1.088981,USD,-1.63
"Jul 2, 2026",08:26:53,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",08:26:53,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",10:38:29,Charge,sub_monthly,BR,BRL,34.90,0.182747,USD,6.38
"Jul 2, 2026",10:38:29,Google fee,sub_monthly,BR,BRL,-5.24,0.182747,USD,-0.96
"Jul 2, 2026",10:53:48,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jul 2, 2026",10:53:48,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jul 2, 2026",11:09:48,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 2, 2026",11:09:48,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 2, 2026",11:28:04,Charge,coach_addon,MX,MXN,59.00,0.054896,USD,3.24
"Jul 2, 2026",11:28:04,Google fee,coach_addon,MX,MXN,-8.85,0.054896,USD,-0.49
"Jul 3, 2026",01:12:00,Charge refund,sub_quarterly,MX,MXN,-329.00,0.055010,USD,-18.10
"Jul 3, 2026",01:53:00,Charge refund,sub_quarterly,DE,EUR,-24.99,1.089947,USD,-27.24
"Jul 3, 2026",02:25:00,Charge refund,sub_quarterly,US,USD,-24.99,1,USD,-24.99
"Jul 3, 2026",02:31:00,Charge refund,sub_monthly,GB,GBP,-8.99,1.299376,USD,-11.68
"Jul 3, 2026",02:53:58,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 3, 2026",02:53:58,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 3, 2026",03:14:46,Charge,sub_monthly,MX,MXN,129.00,0.055010,USD,7.10
"Jul 3, 2026",03:14:46,Google fee,sub_monthly,MX,MXN,-19.35,0.055010,USD,-1.07
"Jul 3, 2026",03:33:31,Charge,sub_monthly,GB,GBP,8.99,1.299376,USD,11.68
"Jul 3, 2026",03:33:31,Google fee,sub_monthly,GB,GBP,-1.35,1.299376,USD,-1.75
"Jul 3, 2026",03:35:20,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jul 3, 2026",03:35:20,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jul 3, 2026",06:07:00,Charge refund,sub_monthly,GB,GBP,-8.99,1.299376,USD,-11.68
"Jul 3, 2026",06:08:41,Charge,sub_monthly,BR,BRL,34.90,0.182854,USD,6.38
"Jul 3, 2026",06:08:41,Google fee,sub_monthly,BR,BRL,-5.24,0.182854,USD,-0.96
"Jul 3, 2026",07:36:30,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 3, 2026",07:36:30,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 3, 2026",08:25:15,Charge,sub_monthly,GB,GBP,8.99,1.299376,USD,11.68
"Jul 3, 2026",08:25:15,Google fee,sub_monthly,GB,GBP,-1.35,1.299376,USD,-1.75
"Jul 3, 2026",09:08:39,Charge,sub_monthly,DE,EUR,9.99,1.089947,USD,10.89
"Jul 3, 2026",09:08:39,Google fee,sub_monthly,DE,EUR,-1.50,1.089947,USD,-1.63
"Jul 3, 2026",09:58:00,Charge refund,sub_monthly,US,USD,-9.99,1,USD,-9.99
"Jul 3, 2026",10:31:52,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jul 3, 2026",10:31:52,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jul 3, 2026",11:16:07,Charge,sub_monthly,DE,EUR,9.99,1.089947,USD,10.89
"Jul 3, 2026",11:16:07,Google fee,sub_monthly,DE,EUR,-1.50,1.089947,USD,-1.63
