Company Account,Merchant Account,Psp Reference,Merchant Reference,Record Type,Creation Date,TimeZone,Gross Currency,Gross Debit,Gross Credit,Commission,Markup,Net Currency,Net Debit,Net Credit,Batch Number
LumoGroup,LumoECOM_EU,8620000000000022,ORD-503972,Settled,2026-06-01 14:43:12,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000404,ORD-504354,Settled,2026-06-01 14:53:46,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000001616,ORD-505566,Authorised,2026-06-01 15:01:12,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000001677,ORD-505627,Refused,2026-06-01 15:01:28,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001392,ORD-505342,Refused,2026-06-01 15:15:16,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001579,ORD-505529,Authorised,2026-06-01 15:15:17,Europe/Amsterdam,GBP,,4.49,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000001663,ORD-505613,Authorised,2026-06-01 15:24:01,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001323,ORD-505273,Authorised,2026-06-01 15:29:22,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001663,ORD-505613,Settled,2026-06-01 15:33:01,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoECOM_EU,8620000000001141,ORD-505091,Authorised,2026-06-01 15:36:41,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000849,ORD-504799,Settled,2026-06-01 15:42:56,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000521,ORD-504471,Authorised,2026-06-01 15:43:08,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001141,ORD-505091,Settled,2026-06-01 15:58:41,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoAPP_US,8620000000001616,ORD-505566,Settled,2026-06-01 16:09:12,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoECOM_EU,8620000000001122,ORD-505072,Authorised,2026-06-01 16:10:25,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001035,ORD-504985,Authorised,2026-06-01 16:15:59,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000796,ORD-504746,Authorised,2026-06-01 16:16:12,Europe/Amsterdam,EUR,,4.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000796,ORD-504746,Settled,2026-06-01 16:28:12,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,23
LumoGroup,LumoECOM_EU,8620000000001579,ORD-505529,Settled,2026-06-01 16:35:17,Europe/Amsterdam,GBP,,4.49,0.09,0.02,GBP,,4.38,23
LumoGroup,LumoECOM_EU,8620000000000521,ORD-504471,Settled,2026-06-01 16:41:08,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoECOM_EU,8620000000000044,ORD-503994,Authorised,2026-06-01 16:41:20,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001035,ORD-504985,Settled,2026-06-01 16:44:59,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoECOM_EU,8620000000001323,ORD-505273,Settled,2026-06-01 16:47:22,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000044,ORD-503994,Settled,2026-06-01 17:30:20,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000136,ORD-504086,Authorised,2026-06-01 17:33:57,Europe/Amsterdam,USD,,59.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000000098,ORD-504048,Authorised,2026-06-01 17:44:15,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001122,ORD-505072,Settled,2026-06-01 18:00:25,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000313,ORD-504263,Authorised,2026-06-01 18:07:23,Europe/Amsterdam,EUR,,4.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000119,ORD-504069,Authorised,2026-06-01 18:25:08,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000000136,ORD-504086,Settled,2026-06-01 18:49:57,Europe/Amsterdam,USD,,59.99,1.14,0.36,USD,,58.49,23
LumoGroup,LumoECOM_EU,8620000000001505,ORD-505455,Authorised,2026-06-01 18:51:08,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000313,ORD-504263,Settled,2026-06-01 18:51:23,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,23
LumoGroup,LumoAPP_US,8620000000000098,ORD-504048,Settled,2026-06-01 19:09:15,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001505,ORD-505455,Settled,2026-06-01 19:17:08,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000119,ORD-504069,Settled,2026-06-01 19:54:08,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoAPP_US,8620000000001618,ORD-505568,Authorised,2026-06-01 20:20:17,Europe/Amsterdam,USD,,4.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000619,ORD-504569,Authorised,2026-06-01 20:25:47,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000571,ORD-504521,Authorised,2026-06-01 20:33:35,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000257,ORD-504207,Authorised,2026-06-01 20:42:24,Europe/Amsterdam,GBP,,8.99,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000000509,ORD-504459,Authorised,2026-06-01 20:49:29,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001534,ORD-505484,Authorised,2026-06-01 20:55:48,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000619,ORD-504569,Settled,2026-06-01 21:09:47,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000257,ORD-504207,Settled,2026-06-01 21:27:24,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,23
LumoGroup,LumoECOM_EU,8620000000000571,ORD-504521,Settled,2026-06-01 21:52:35,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoAPP_US,8620000000001618,ORD-505568,Settled,2026-06-01 22:10:17,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,23
LumoGroup,LumoECOM_EU,8620000000001534,ORD-505484,Settled,2026-06-01 22:33:48,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoECOM_EU,8620000000000509,ORD-504459,Settled,2026-06-01 22:35:29,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001211,ORD-505161,Authorised,2026-06-02 09:01:44,Europe/Amsterdam,GBP,,8.99,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000001494,ORD-505444,Authorised,2026-06-02 09:14:31,Europe/Amsterdam,GBP,,4.49,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000000887,ORD-504837,Authorised,2026-06-02 09:32:14,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001608,ORD-505558,Authorised,2026-06-02 09:37:23,Europe/Amsterdam,GBP,,21.99,,,GBP,,,23
LumoGroup,LumoAPP_US,8620000000000634,ORD-504584,Authorised,2026-06-02 09:42:39,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001211,ORD-505161,Settled,2026-06-02 09:42:44,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,23
LumoGroup,LumoECOM_EU,8620000000000939,ORD-504889,Refused,2026-06-02 09:48:36,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000580,ORD-504530,Authorised,2026-06-02 09:54:43,Europe/Amsterdam,USD,,4.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000754,ORD-504704,Refused,2026-06-02 10:01:49,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000634,ORD-504584,Settled,2026-06-02 10:06:39,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoAPP_US,8620000000001127,ORD-505077,Authorised,2026-06-02 10:17:12,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001581,ORD-505531,Authorised,2026-06-02 10:18:10,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000887,ORD-504837,Settled,2026-06-02 10:25:14,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000580,ORD-504530,Settled,2026-06-02 10:31:43,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,23
LumoGroup,LumoECOM_EU,8620000000001401,ORD-505351,Refused,2026-06-02 10:38:41,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001494,ORD-505444,Settled,2026-06-02 10:42:31,Europe/Amsterdam,GBP,,4.49,0.09,0.02,GBP,,4.38,23
LumoGroup,LumoECOM_EU,8620000000001608,ORD-505558,Settled,2026-06-02 10:45:23,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,23
LumoGroup,LumoECOM_EU,8620000000000145,ORD-504095,Authorised,2026-06-02 11:06:45,Europe/Amsterdam,GBP,,21.99,,,GBP,,,23
LumoGroup,LumoAPP_US,8620000000000736,ORD-504686,Authorised,2026-06-02 11:11:00,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000001127,ORD-505077,Settled,2026-06-02 11:11:12,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoECOM_EU,8620000000000139,ORD-504089,Authorised,2026-06-02 11:20:46,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000145,ORD-504095,Settled,2026-06-02 11:30:45,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,23
LumoGroup,LumoECOM_EU,8620000000001690,ORD-505640,Authorised,2026-06-02 11:50:08,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001581,ORD-505531,Settled,2026-06-02 11:52:10,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000300,ORD-504250,Authorised,2026-06-02 11:58:31,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001294,ORD-505244,Authorised,2026-06-02 11:59:51,Europe/Amsterdam,EUR,,4.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000777,ORD-504727,Authorised,2026-06-02 12:02:04,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000736,ORD-504686,Settled,2026-06-02 12:04:00,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoAPP_US,8620000000000421,ORD-504371,Authorised,2026-06-02 12:10:18,Europe/Amsterdam,USD,,59.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000777,ORD-504727,Settled,2026-06-02 12:19:04,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoECOM_EU,8620000000001294,ORD-505244,Settled,2026-06-02 12:39:51,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,23
LumoGroup,LumoECOM_EU,8620000000000139,ORD-504089,Settled,2026-06-02 12:49:46,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000077,ORD-504027,Authorised,2026-06-02 12:54:26,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001259,ORD-505209,Authorised,2026-06-02 13:05:24,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001690,ORD-505640,Settled,2026-06-02 13:18:08,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000004,ORD-503954,Authorised,2026-06-02 13:31:10,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000077,ORD-504027,Settled,2026-06-02 13:39:26,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001558,ORD-505508,Authorised,2026-06-02 13:43:06,Europe/Amsterdam,EUR,,4.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000300,ORD-504250,Settled,2026-06-02 13:45:31,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000421,ORD-504371,Settled,2026-06-02 13:47:18,Europe/Amsterdam,USD,,59.99,1.14,0.36,USD,,58.49,23
LumoGroup,LumoECOM_EU,8620000000000397,ORD-504347,Authorised,2026-06-02 13:50:02,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001558,ORD-505508,Settled,2026-06-02 14:00:06,Europe/Amsterdam,EUR,,4.99,0.09,0.03,EUR,,4.87,23
LumoGroup,LumoAPP_US,8620000000000019,ORD-503969,Authorised,2026-06-02 14:11:59,Europe/Amsterdam,USD,,4.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000004,ORD-503954,Settled,2026-06-02 14:14:10,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001259,ORD-505209,Settled,2026-06-02 14:20:24,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000397,ORD-504347,Settled,2026-06-02 14:29:02,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoECOM_EU,8620000000000069,ORD-504019,Authorised,2026-06-02 15:11:51,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000270,ORD-504220,Refused,2026-06-02 15:13:40,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000054,ORD-504004,Authorised,2026-06-02 15:23:46,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000019,ORD-503969,Settled,2026-06-02 15:28:59,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,23
LumoGroup,LumoAPP_US,8620000000000723,ORD-504673,Authorised,2026-06-02 15:36:40,Europe/Amsterdam,USD,,59.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000069,ORD-504019,Settled,2026-06-02 15:38:51,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000078,ORD-504028,Authorised,2026-06-02 15:49:42,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000000723,ORD-504673,Settled,2026-06-02 15:50:40,Europe/Amsterdam,USD,,59.99,1.14,0.36,USD,,58.49,23
LumoGroup,LumoAPP_US,8620000000000078,ORD-504028,Settled,2026-06-02 15:58:42,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoECOM_EU,8620000000000964,ORD-504914,Authorised,2026-06-02 16:38:09,Europe/Amsterdam,GBP,,54.99,,,GBP,,,23
