transaction_id,invoice_id,transaction_type,status,created_at_utc,country,currency,currency_exponent,local_amount,fx_rate,usd_amount,fee_usd
DL-90000083,ORD-505778,PAYMENT,PAID,2026-06-01 14:49:25,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000477,ORD-506172,PAYMENT,PAID,2026-06-01 15:01:03,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000313,ORD-506008,PAYMENT,PAID,2026-06-01 15:16:48,BR,BRL,2,19990,5.4195,36.89,1.66
DL-90000275,ORD-505970,PAYMENT,PAID,2026-06-01 15:41:53,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000226,ORD-505921,PAYMENT,PAID,2026-06-01 15:45:54,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000847,ORD-506542,PAYMENT,PAID,2026-06-01 15:47:07,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90001070,ORD-506765,PAYMENT,PAID,2026-06-01 15:48:15,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000379,ORD-506074,PAYMENT,PAID,2026-06-01 16:01:14,BR,BRL,2,19990,5.4195,36.89,1.66
DL-90000168,ORD-505863,PAYMENT,PAID,2026-06-01 16:09:28,BR,BRL,2,1690,5.4195,3.12,0.14
DL-90000778,ORD-506473,PAYMENT,PAID,2026-06-01 16:20:32,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000460,ORD-506155,PAYMENT,PAID,2026-06-01 17:04:33,CL,CLP,0,44990,941.6196,47.78,2.15
DL-90000169,ORD-505864,PAYMENT,PAID,2026-06-01 18:40:55,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000885,ORD-506580,PAYMENT,PAID,2026-06-01 18:48:29,BR,BRL,2,19990,5.4195,36.89,1.66
DL-90000543,ORD-506238,PAYMENT,PAID,2026-06-01 19:21:51,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000374,ORD-506069,PAYMENT,PAID,2026-06-01 19:28:04,MX,MXN,2,32900,18.1772,18.10,0.81
DL-90000156,ORD-505851,PAYMENT,PAID,2026-06-01 19:43:34,AR,ARS,2,599900,1186.2396,5.06,0.23
DL-90001211,ORD-506906,PAYMENT,PAID,2026-06-01 19:46:16,MX,MXN,2,12900,18.1772,7.10,0.32
DL-90001167,ORD-506862,PAYMENT,PAID,2026-06-01 20:01:51,AR,ARS,2,1599900,1186.2396,13.49,0.61
DL-90000859,ORD-506554,PAYMENT,PAID,2026-06-01 20:28:32,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000127,ORD-505822,PAYMENT,REJECTED,2026-06-02 07:33:12,CL,CLP,0,3990,944.2871,4.23,0.19
DL-90000136,ORD-505831,PAYMENT,PAID,2026-06-02 08:25:42,MX,MXN,2,5900,18.1838,3.24,0.15
DL-90000732,ORD-506427,PAYMENT,PAID,2026-06-02 08:45:34,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000618,ORD-506313,PAYMENT,PAID,2026-06-02 08:56:49,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000872,ORD-506567,PAYMENT,PAID,2026-06-02 09:08:23,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000267,ORD-505962,PAYMENT,REJECTED,2026-06-02 09:11:27,BR,BRL,2,8990,5.4350,16.54,0.74
DL-90000527,ORD-506222,PAYMENT,PAID,2026-06-02 09:30:20,CL,CLP,0,6990,944.2871,7.40,0.33
DL-90000003,ORD-505698,PAYMENT,PAID,2026-06-02 09:50:18,MX,MXN,2,5900,18.1838,3.24,0.15
DL-90001097,ORD-506792,PAYMENT,PAID,2026-06-02 10:00:59,CO,COP,2,7990000,3984.0637,20.05,0.90
DL-90000412,ORD-506107,PAYMENT,PAID,2026-06-02 10:06:13,BR,BRL,2,1690,5.4350,3.11,0.14
DL-90001232,ORD-506927,PAYMENT,PAID,2026-06-02 10:16:53,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90000541,ORD-506236,PAYMENT,PAID,2026-06-02 10:29:15,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000461,ORD-506156,PAYMENT,REJECTED,2026-06-02 10:51:25,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90001015,ORD-506710,PAYMENT,PAID,2026-06-02 10:57:27,MX,MXN,2,79900,18.1838,43.94,1.98
DL-90000221,ORD-505916,PAYMENT,PAID,2026-06-02 11:02:22,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000456,ORD-506151,PAYMENT,PAID,2026-06-02 11:29:11,MX,MXN,2,32900,18.1838,18.09,0.81
DL-90000711,ORD-506406,PAYMENT,PAID,2026-06-02 11:49:09,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90000697,ORD-506392,PAYMENT,PAID,2026-06-02 12:31:11,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90000626,ORD-506321,PAYMENT,REJECTED,2026-06-02 12:41:45,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90000021,ORD-505716,PAYMENT,PAID,2026-06-02 12:46:56,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90001084,ORD-506779,PAYMENT,PAID,2026-06-02 12:49:19,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000978,ORD-506673,PAYMENT,PAID,2026-06-02 13:05:33,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000184,ORD-505879,PAYMENT,PAID,2026-06-02 13:09:28,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90001163,ORD-506858,PAYMENT,PAID,2026-06-02 13:59:41,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000943,ORD-506638,PAYMENT,PAID,2026-06-02 14:08:19,CL,CLP,0,17990,944.2871,19.05,0.86
DL-90000312,ORD-506007,PAYMENT,PAID,2026-06-02 14:18:42,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000731,ORD-506426,PAYMENT,PAID,2026-06-02 15:02:21,CL,CLP,0,6990,944.2871,7.40,0.33
DL-90000451,ORD-506146,PAYMENT,PAID,2026-06-02 15:26:06,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000520,ORD-506215,PAYMENT,PAID,2026-06-02 15:26:50,BR,BRL,2,1690,5.4350,3.11,0.14
DL-90000718,ORD-506413,PAYMENT,PAID,2026-06-02 15:37:53,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90001164,ORD-506859,PAYMENT,PAID,2026-06-02 16:09:20,BR,BRL,2,8990,5.4350,16.54,0.74
DL-90000422,ORD-506117,PAYMENT,PAID,2026-06-02 16:38:24,BR,BRL,2,8990,5.4350,16.54,0.74
DL-90000424,ORD-506119,PAYMENT,PAID,2026-06-02 16:51:42,MX,MXN,2,12900,18.1838,7.09,0.32
DL-90000584,ORD-506279,PAYMENT,PAID,2026-06-02 17:11:03,CL,CLP,0,6990,944.2871,7.40,0.33
DL-90000528,ORD-506223,PAYMENT,PAID,2026-06-02 18:09:19,MX,MXN,2,79900,18.1838,43.94,1.98
DL-90000716,ORD-506411,PAYMENT,PAID,2026-06-02 18:52:27,BR,BRL,2,3490,5.4350,6.42,0.29
DL-90000614,ORD-506309,PAYMENT,PAID,2026-06-02 19:07:47,MX,MXN,2,5900,18.1838,3.24,0.15
DL-90000955,ORD-506650,PAYMENT,PAID,2026-06-02 19:29:56,MX,MXN,2,32900,18.1838,18.09,0.81
DL-90001220,ORD-506915,PAYMENT,PAID,2026-06-03 08:00:20,MX,MXN,2,12900,18.1238,7.12,0.32
DL-90000250,ORD-505945,PAYMENT,PAID,2026-06-03 09:01:47,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000798,ORD-506493,PAYMENT,PAID,2026-06-03 09:23:26,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90001140,ORD-506835,PAYMENT,PAID,2026-06-03 09:24:44,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000843,ORD-506538,PAYMENT,PAID,2026-06-03 09:41:28,BR,BRL,2,19990,5.4257,36.84,1.66
DL-90000132,ORD-505827,PAYMENT,PAID,2026-06-03 09:49:19,MX,MXN,2,12900,18.1238,7.12,0.32
DL-90001234,ORD-506929,PAYMENT,PAID,2026-06-03 10:02:12,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000951,ORD-506646,PAYMENT,PAID,2026-06-03 10:17:28,MX,MXN,2,12900,18.1238,7.12,0.32
DL-90000713,ORD-506408,PAYMENT,PAID,2026-06-03 10:31:49,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000643,ORD-506338,PAYMENT,PAID,2026-06-03 10:38:16,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000425,ORD-506120,PAYMENT,REJECTED,2026-06-03 10:44:19,BR,BRL,2,19990,5.4257,36.84,1.66
DL-90000851,ORD-506546,PAYMENT,PAID,2026-06-03 11:09:52,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90001126,ORD-506821,PAYMENT,PAID,2026-06-03 11:13:36,MX,MXN,2,79900,18.1238,44.09,1.98
DL-90000188,ORD-505883,PAYMENT,PAID,2026-06-03 11:41:12,MX,MXN,2,32900,18.1238,18.15,0.82
DL-90000690,ORD-506385,PAYMENT,PAID,2026-06-03 11:50:08,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000413,ORD-506108,PAYMENT,PAID,2026-06-03 11:55:09,MX,MXN,2,5900,18.1238,3.26,0.15
DL-90001066,ORD-506761,PAYMENT,PAID,2026-06-03 11:56:18,CL,CLP,0,17990,941.6196,19.11,0.86
DL-90000953,ORD-506648,PAYMENT,PAID,2026-06-03 12:01:17,MX,MXN,2,32900,18.1238,18.15,0.82
DL-90000820,ORD-506515,PAYMENT,PAID,2026-06-03 12:12:35,MX,MXN,2,5900,18.1238,3.26,0.15
DL-90001102,ORD-506797,PAYMENT,PAID,2026-06-03 12:33:48,BR,BRL,2,1690,5.4257,3.11,0.14
DL-90001207,ORD-506902,PAYMENT,PAID,2026-06-03 12:55:34,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90001111,ORD-506806,PAYMENT,PAID,2026-06-03 13:48:27,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90001108,ORD-506803,PAYMENT,PAID,2026-06-03 13:49:09,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000765,ORD-506460,PAYMENT,PAID,2026-06-03 13:51:06,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000736,ORD-506431,PAYMENT,PAID,2026-06-03 14:16:28,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000236,ORD-505931,PAYMENT,PAID,2026-06-03 14:56:40,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000325,ORD-506020,PAYMENT,PAID,2026-06-03 15:03:26,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000671,ORD-506366,PAYMENT,PAID,2026-06-03 16:06:20,BR,BRL,2,1690,5.4257,3.11,0.14
DL-90001074,ORD-506769,PAYMENT,PAID,2026-06-03 16:10:52,BR,BRL,2,19990,5.4257,36.84,1.66
DL-90000900,ORD-506595,PAYMENT,PAID,2026-06-03 16:21:59,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000666,ORD-506361,PAYMENT,PAID,2026-06-03 16:32:52,AR,ARS,2,599900,1189.0606,5.05,0.23
DL-90000542,ORD-506237,PAYMENT,PAID,2026-06-03 16:35:34,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000297,ORD-505992,PAYMENT,PAID,2026-06-03 16:50:30,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000559,ORD-506254,PAYMENT,PAID,2026-06-03 17:22:52,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000744,ORD-506439,PAYMENT,PAID,2026-06-03 17:51:04,MX,MXN,2,12900,18.1238,7.12,0.32
DL-90000328,ORD-506023,PAYMENT,PAID,2026-06-03 18:19:38,MX,MXN,2,79900,18.1238,44.09,1.98
DL-90000008,ORD-505703,PAYMENT,REJECTED,2026-06-03 18:29:53,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000601,ORD-506296,PAYMENT,REJECTED,2026-06-03 18:44:14,MX,MXN,2,79900,18.1238,44.09,1.98
DL-90000165,ORD-505860,PAYMENT,PAID,2026-06-03 18:52:24,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000029,ORD-505724,PAYMENT,PAID,2026-06-03 19:05:31,BR,BRL,2,3490,5.4257,6.43,0.29
DL-90000734,ORD-506429,PAYMENT,PAID,2026-06-03 19:11:09,BR,BRL,2,8990,5.4257,16.57,0.75
DL-90000399,ORD-506094,PAYMENT,PAID,2026-06-03 19:33:34,MX,MXN,2,12900,18.1238,7.12,0.32
DL-90000495,ORD-506190,PAYMENT,PAID,2026-06-04 07:49:19,AR,ARS,2,599900,1189.0606,5.05,0.23
DL-90001244,ORD-506939,PAYMENT,REJECTED,2026-06-04 08:23:24,BR,BRL,2,8990,5.4067,16.63,0.75
DL-90001117,ORD-506812,PAYMENT,PAID,2026-06-04 08:59:38,CL,CLP,0,6990,938.9671,7.44,0.33
DL-90001138,ORD-506833,PAYMENT,PAID,2026-06-04 09:54:03,MX,MXN,2,12900,18.1518,7.11,0.32
DL-90001027,ORD-506722,PAYMENT,PAID,2026-06-04 09:58:36,AR,ARS,2,599900,1189.0606,5.05,0.23
DL-90001061,ORD-506756,PAYMENT,PAID,2026-06-04 10:04:27,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90001063,ORD-506758,PAYMENT,PAID,2026-06-04 10:27:20,CL,CLP,0,3990,938.9671,4.25,0.19
DL-90000994,ORD-506689,PAYMENT,PAID,2026-06-04 10:56:06,AR,ARS,2,3999900,1189.0606,33.64,1.51
DL-90000515,ORD-506210,PAYMENT,PAID,2026-06-04 11:10:22,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000957,ORD-506652,PAYMENT,PAID,2026-06-04 11:14:17,BR,BRL,2,8990,5.4067,16.63,0.75
DL-90000409,ORD-506104,PAYMENT,PAID,2026-06-04 11:48:37,BR,BRL,2,19990,5.4067,36.97,1.66
DL-90001089,ORD-506784,PAYMENT,PAID,2026-06-04 12:21:27,CL,CLP,0,3990,938.9671,4.25,0.19
DL-90000933,ORD-506628,PAYMENT,PAID,2026-06-04 12:53:25,MX,MXN,2,12900,18.1518,7.11,0.32
DL-90000724,ORD-506419,PAYMENT,PAID,2026-06-04 13:41:55,CL,CLP,0,6990,938.9671,7.44,0.33
DL-90000598,ORD-506293,PAYMENT,REJECTED,2026-06-04 14:14:47,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000276,ORD-505971,PAYMENT,REJECTED,2026-06-04 14:24:26,MX,MXN,2,12900,18.1518,7.11,0.32
DL-90001067,ORD-506762,PAYMENT,PAID,2026-06-04 14:27:54,CL,CLP,0,6990,938.9671,7.44,0.33
DL-90000777,ORD-506472,PAYMENT,PAID,2026-06-04 14:38:32,MX,MXN,2,32900,18.1518,18.12,0.82
DL-90000030,ORD-505725,PAYMENT,PAID,2026-06-04 14:40:04,CL,CLP,0,44990,938.9671,47.91,2.16
DL-90000646,ORD-506341,PAYMENT,PAID,2026-06-04 14:49:18,CL,CLP,0,6990,938.9671,7.44,0.33
DL-90000963,ORD-506658,PAYMENT,PAID,2026-06-04 15:19:54,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000856,ORD-506551,PAYMENT,PAID,2026-06-04 16:41:48,BR,BRL,2,8990,5.4067,16.63,0.75
DL-90000615,ORD-506310,PAYMENT,PAID,2026-06-04 16:54:24,BR,BRL,2,1690,5.4067,3.13,0.14
DL-90000677,ORD-506372,PAYMENT,PAID,2026-06-04 17:02:06,BR,BRL,2,8990,5.4067,16.63,0.75
DL-90001241,ORD-506936,PAYMENT,PAID,2026-06-04 17:21:57,BR,BRL,2,19990,5.4067,36.97,1.66
DL-90001201,ORD-506896,PAYMENT,PAID,2026-06-04 17:26:48,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000641,ORD-506336,PAYMENT,PAID,2026-06-04 17:29:01,AR,ARS,2,1599900,1189.0606,13.46,0.61
DL-90000002,ORD-505697,PAYMENT,PAID,2026-06-04 17:37:12,CL,CLP,0,6990,938.9671,7.44,0.33
DL-90000840,ORD-506535,PAYMENT,PAID,2026-06-04 17:43:38,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000457,ORD-506152,PAYMENT,PAID,2026-06-04 18:04:23,BR,BRL,2,1690,5.4067,3.13,0.14
DL-90001121,ORD-506816,PAYMENT,PAID,2026-06-04 18:04:55,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000044,ORD-505739,PAYMENT,PAID,2026-06-04 18:41:10,CO,COP,2,19990000,3968.2540,50.37,2.27
DL-90000332,ORD-506027,PAYMENT,PAID,2026-06-04 18:50:01,MX,MXN,2,12900,18.1518,7.11,0.32
DL-90000222,ORD-505917,PAYMENT,PAID,2026-06-04 18:50:07,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000588,ORD-506283,PAYMENT,PAID,2026-06-04 18:51:21,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000263,ORD-505958,PAYMENT,PAID,2026-06-04 18:54:52,MX,MXN,2,12900,18.1518,7.11,0.32
DL-90000949,ORD-506644,PAYMENT,PAID,2026-06-04 19:34:11,AR,ARS,2,599900,1189.0606,5.05,0.23
DL-90000249,ORD-505944,PAYMENT,PAID,2026-06-04 20:00:12,BR,BRL,2,3490,5.4067,6.45,0.29
DL-90000918,ORD-506613,PAYMENT,PAID,2026-06-05 07:51:03,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90001050,ORD-506745,PAYMENT,PAID,2026-06-05 07:51:18,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90001210,ORD-506905,PAYMENT,PAID,2026-06-05 08:10:54,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90000917,ORD-506612,PAYMENT,REJECTED,2026-06-05 08:27:27,BR,BRL,2,1690,5.4139,3.12,0.14
DL-90001037,ORD-506732,PAYMENT,PAID,2026-06-05 08:35:27,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90000502,ORD-506197,PAYMENT,PAID,2026-06-05 08:41:05,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90000317,ORD-506012,PAYMENT,PAID,2026-06-05 08:43:46,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90001151,ORD-506846,PAYMENT,PAID,2026-06-05 08:49:45,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90001196,ORD-506891,PAYMENT,PAID,2026-06-05 09:47:01,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90001318,ORD-507813,PAYMENT,PAID,2026-06-05 10:03:00,AR,ARS,2,1599900,1190.4762,13.45,0.61
DL-90000805,ORD-506500,PAYMENT,REJECTED,2026-06-05 10:11:57,AR,ARS,2,599900,1190.4762,5.04,0.23
DL-90000776,ORD-506471,PAYMENT,REJECTED,2026-06-05 10:27:46,AR,ARS,2,599900,1190.4762,5.04,0.23
DL-90001139,ORD-506834,PAYMENT,REJECTED,2026-06-05 10:30:38,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000405,ORD-506100,PAYMENT,PAID,2026-06-05 11:17:05,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000144,ORD-505839,PAYMENT,PAID,2026-06-05 11:35:00,AR,ARS,2,1599900,1190.4762,13.44,0.60
DL-90001131,ORD-506826,PAYMENT,PAID,2026-06-05 12:02:07,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000191,ORD-505886,PAYMENT,PAID,2026-06-05 13:09:09,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90001221,ORD-506916,PAYMENT,PAID,2026-06-05 13:12:36,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000891,ORD-506586,PAYMENT,PAID,2026-06-05 13:20:26,MX,MXN,2,32900,18.1805,18.10,0.81
DL-90000504,ORD-506199,PAYMENT,PAID,2026-06-05 13:41:09,CO,COP,2,1290000,3984.0637,3.24,0.15
DL-90001021,ORD-506716,PAYMENT,PAID,2026-06-05 13:48:49,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90000760,ORD-506455,PAYMENT,REJECTED,2026-06-05 13:54:04,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000788,ORD-506483,PAYMENT,PAID,2026-06-05 13:58:32,AR,ARS,2,1599900,1190.4762,13.44,0.60
DL-90000254,ORD-505949,PAYMENT,PAID,2026-06-05 14:19:45,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000627,ORD-506322,PAYMENT,PAID,2026-06-05 14:19:56,CL,CLP,0,6990,939.8496,7.44,0.33
DL-90001150,ORD-506845,PAYMENT,PAID,2026-06-05 14:25:14,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90000319,ORD-506014,PAYMENT,PAID,2026-06-05 14:42:08,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90000997,ORD-506692,PAYMENT,PAID,2026-06-05 14:47:02,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90000738,ORD-506433,PAYMENT,PAID,2026-06-05 14:47:47,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000811,ORD-506506,PAYMENT,PAID,2026-06-05 14:49:05,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000729,ORD-506424,PAYMENT,REJECTED,2026-06-05 14:49:08,AR,ARS,2,3999900,1190.4762,33.60,1.51
DL-90000401,ORD-506096,PAYMENT,REJECTED,2026-06-05 15:40:51,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000995,ORD-506690,PAYMENT,PAID,2026-06-05 15:45:53,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000735,ORD-506430,PAYMENT,PAID,2026-06-05 16:22:26,CO,COP,2,7990000,3984.0637,20.05,0.90
DL-90001159,ORD-506854,PAYMENT,PAID,2026-06-05 16:59:13,MX,MXN,2,79900,18.1805,43.95,1.98
DL-90000115,ORD-505810,PAYMENT,PAID,2026-06-05 17:15:06,CL,CLP,0,3990,939.8496,4.25,0.19
DL-90000535,ORD-506230,PAYMENT,PAID,2026-06-05 17:22:22,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000931,ORD-506626,PAYMENT,PAID,2026-06-05 17:47:59,CL,CLP,0,6990,939.8496,7.44,0.33
DL-90000642,ORD-506337,PAYMENT,PAID,2026-06-05 17:49:28,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000458,ORD-506153,PAYMENT,PAID,2026-06-05 18:16:37,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000067,ORD-505762,PAYMENT,PAID,2026-06-05 18:30:31,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000967,ORD-506662,PAYMENT,PAID,2026-06-05 18:34:00,AR,ARS,2,259900,1190.4762,2.18,0.10
DL-90000257,ORD-505952,PAYMENT,PAID,2026-06-05 18:38:40,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000597,ORD-506292,PAYMENT,PAID,2026-06-05 19:03:15,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000518,ORD-506213,PAYMENT,PAID,2026-06-05 19:59:23,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90000435,ORD-506130,PAYMENT,PAID,2026-06-06 07:30:28,MX,MXN,2,79900,18.1805,43.95,1.98
DL-90000555,ORD-506250,PAYMENT,PAID,2026-06-06 08:03:34,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000049,ORD-505744,PAYMENT,PAID,2026-06-06 08:17:35,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000192,ORD-505887,PAYMENT,PAID,2026-06-06 08:54:57,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000059,ORD-505754,PAYMENT,PAID,2026-06-06 09:22:45,MX,MXN,2,79900,18.1805,43.95,1.98
DL-90000695,ORD-506390,PAYMENT,REJECTED,2026-06-06 09:33:30,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000117,ORD-505812,PAYMENT,PAID,2026-06-06 09:40:07,CO,COP,2,19990000,3984.0637,50.17,2.26
DL-90000651,ORD-506346,PAYMENT,PAID,2026-06-06 10:12:48,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000924,ORD-506619,PAYMENT,PAID,2026-06-06 10:13:00,BR,BRL,2,19990,5.4139,36.92,1.66
DL-90000437,ORD-506132,PAYMENT,PAID,2026-06-06 10:18:41,MX,MXN,2,12900,18.1805,7.10,0.32
DL-90000389,ORD-506084,PAYMENT,PAID,2026-06-06 10:53:46,MX,MXN,2,5900,18.1805,3.25,0.15
DL-90000833,ORD-506528,PAYMENT,PAID,2026-06-06 10:59:14,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000913,ORD-506608,PAYMENT,PAID,2026-06-06 11:16:21,BR,BRL,2,8990,5.4139,16.61,0.75
DL-90000301,ORD-505996,PAYMENT,REJECTED,2026-06-06 11:22:47,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000867,ORD-506562,PAYMENT,PAID,2026-06-06 12:10:36,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90001073,ORD-506768,PAYMENT,PAID,2026-06-06 12:10:37,BR,BRL,2,3490,5.4139,6.45,0.29
DL-90000092,ORD-505787,PAYMENT,PAID,2026-06-06 12:14:24,CO,COP,2,2990000,3984.0637,7.50,0.34
